"id";"categoryId";"foodItemId";"priority"
"85";"7";"85";"32"
"86";"7";"86";"33"
"87";"7";"87";"34"
"88";"7";"88";"35"
"89";"7";"89";"36"
"90";"7";"90";"37"
"91";"7";"91";"38"
"92";"7";"92";"39"
"93";"7";"93";"40"
"94";"7";"94";"41"
"95";"7";"95";"42"
"96";"7";"96";"43"
"97";"7";"97";"44"
"98";"7";"98";"45"
"99";"7";"99";"46"
"100";"7";"100";"47"
"101";"7";"101";"48"
"102";"7";"102";"49"
"103";"7";"103";"50"
"104";"7";"104";"51"
"105";"7";"105";"52"
"106";"7";"106";"53"
"107";"7";"107";"54"
"108";"7";"108";"55"
"109";"7";"109";"56"
"110";"7";"110";"57"
"111";"7";"111";"58"
"112";"7";"112";"59"
"113";"7";"113";"60"
"114";"7";"114";"61"
"115";"7";"115";"62"
"116";"7";"116";"63"
"117";"6";"117";"1"
"120";"6";"120";"2"
"121";"6";"121";"3"
"122";"6";"122";"4"
"125";"6";"125";"5"
"127";"6";"127";"6"
"129";"6";"129";"7"
"132";"6";"132";"8"
"135";"6";"135";"9"
"142";"6";"142";"10"
"143";"6";"143";"11"
"147";"6";"147";"12"
"148";"6";"148";"13"
"149";"6";"149";"14"
"150";"6";"150";"15"
"151";"6";"151";"16"
"152";"6";"152";"17"
"153";"6";"153";"18"
"154";"6";"154";"19"
"155";"6";"155";"20"
"156";"6";"156";"21"
"159";"6";"159";"22"
"162";"6";"162";"23"
"163";"6";"163";"24"
"166";"6";"166";"25"
"169";"6";"169";"26"
"171";"6";"171";"27"
"173";"6";"173";"28"
"182";"6";"182";"29"
"185";"6";"185";"30"
"189";"6";"189";"31"
"192";"6";"192";"32"
"194";"6";"194";"33"
"197";"6";"197";"34"
"201";"6";"201";"35"
"203";"6";"203";"36"
"205";"6";"205";"37"
"207";"6";"207";"38"
"209";"6";"209";"39"
"210";"6";"210";"40"
"211";"6";"211";"41"
"213";"6";"213";"42"
"214";"6";"214";"43"
"215";"6";"215";"44"
"216";"6";"216";"45"
"620";"12";"16";"1"
"621";"12";"17";"2"
"622";"12";"18";"13"
"623";"12";"19";"9"
"624";"12";"20";"11"
"625";"12";"21";"15"
"626";"12";"22";"19"
"627";"12";"23";"18"
"629";"13";"25";"4"
"630";"13";"26";"6"
"631";"13";"27";"13"
"632";"13";"28";"15"
"633";"13";"29";"5"
"634";"13";"30";"19"
"635";"13";"31";"20"
"636";"13";"32";"21"
"637";"14";"33";"1"
"638";"14";"34";"2"
"639";"14";"35";"5"
"640";"14";"36";"8"
"642";"14";"38";"21"
"643";"14";"39";"10"
"644";"14";"40";"9"
"645";"14";"41";"11"
"646";"15";"42";"1"
"647";"15";"43";"2"
"648";"15";"44";"3"
"649";"15";"45";"4"
"650";"15";"46";"5"
"651";"15";"47";"6"
"652";"16";"48";"1"
"653";"16";"49";"3"
"654";"16";"50";"11"
"655";"16";"51";"19"
"656";"18";"52";"1"
"657";"18";"53";"2"
"658";"18";"54";"3"
"659";"18";"55";"4"
"660";"18";"56";"5"
"661";"18";"57";"6"
"662";"18";"58";"7"
"663";"18";"59";"8"
"664";"18";"60";"9"
"665";"18";"61";"10"
"666";"18";"62";"11"
"667";"18";"63";"12"
"668";"18";"64";"13"
"670";"18";"66";"15"
"672";"18";"68";"17"
"673";"18";"69";"18"
"674";"18";"70";"19"
"675";"18";"71";"20"
"676";"18";"72";"21"
"677";"18";"73";"22"
"678";"18";"74";"23"
"680";"18";"76";"25"
"681";"18";"77";"26"
"682";"18";"78";"27"
"683";"18";"79";"28"
"684";"18";"80";"29"
"685";"18";"81";"30"
"686";"18";"82";"31"
"687";"18";"83";"32"
"688";"18";"84";"33"
"689";"18";"85";"34"
"690";"18";"86";"35"
"691";"18";"87";"36"
"692";"18";"88";"37"
"693";"18";"89";"38"
"694";"18";"90";"39"
"695";"18";"91";"40"
"696";"18";"92";"41"
"697";"18";"93";"42"
"698";"18";"94";"43"
"699";"18";"95";"44"
"700";"18";"96";"45"
"701";"18";"97";"46"
"702";"18";"98";"47"
"703";"18";"99";"48"
"704";"18";"100";"49"
"705";"18";"101";"50"
"706";"18";"102";"51"
"707";"18";"103";"52"
"708";"18";"104";"53"
"709";"18";"105";"54"
"710";"18";"106";"55"
"711";"18";"107";"56"
"712";"18";"108";"57"
"713";"18";"109";"58"
"714";"18";"110";"59"
"715";"18";"111";"60"
"716";"18";"112";"61"
"717";"18";"113";"62"
"718";"18";"114";"63"
"719";"18";"115";"64"
"720";"18";"116";"65"
"721";"17";"117";"1"
"724";"17";"120";"4"
"725";"17";"121";"5"
"726";"17";"122";"6"
"729";"17";"125";"9"
"731";"17";"127";"11"
"733";"17";"129";"13"
"736";"17";"132";"16"
"739";"17";"135";"19"
"746";"17";"142";"26"
"747";"17";"143";"27"
"751";"17";"147";"31"
"752";"17";"148";"32"
"753";"17";"149";"33"
"754";"17";"150";"34"
"755";"17";"151";"35"
"756";"17";"152";"36"
"757";"17";"153";"37"
"758";"17";"154";"38"
"759";"17";"155";"39"
"760";"17";"156";"40"
"763";"17";"159";"43"
"766";"17";"162";"46"
"767";"17";"163";"47"
"770";"17";"166";"50"
"773";"17";"169";"53"
"775";"17";"171";"55"
"777";"17";"173";"57"
"786";"17";"182";"66"
"789";"17";"185";"69"
"793";"17";"189";"73"
"796";"17";"192";"76"
"798";"17";"194";"78"
"801";"17";"197";"81"
"805";"17";"201";"85"
"807";"17";"203";"87"
"809";"17";"205";"89"
"811";"17";"207";"91"
"813";"17";"209";"93"
"814";"17";"210";"94"
"815";"17";"211";"95"
"817";"17";"213";"97"
"818";"17";"214";"98"
"819";"17";"215";"99"
"820";"17";"216";"100"
"839";"38";"117";"38"
"854";"38";"120";"44"
"855";"38";"121";"43"
"856";"38";"122";"43"
"859";"38";"125";"17"
"861";"38";"127";"29"
"863";"38";"129";"6"
"865";"38";"132";"10"
"867";"38";"135";"47"
"873";"38";"142";"22"
"874";"38";"143";"25"
"882";"56";"166";"45"
"885";"56";"169";"7"
"887";"56";"171";"10"
"889";"56";"173";"29"
"898";"56";"182";"44"
"901";"56";"185";"25"
"905";"56";"189";"47"
"908";"56";"192";"28"
"910";"56";"194";"39"
"913";"38";"2187";"43"
"917";"2";"2189";"8"
"918";"13";"2189";"12"
"920";"13";"2191";"9"
"926";"67";"59";"1"
"927";"67";"61";"3"
"928";"67";"60";"2"
"929";"67";"62";"5"
"930";"67";"63";"6"
"931";"67";"64";"7"
"934";"67";"66";"10"
"936";"67";"2197";"10"
"937";"68";"52";"1"
"938";"68";"53";"13"
"939";"68";"55";"3"
"940";"68";"56";"10"
"941";"68";"57";"11"
"942";"68";"54";"14"
"943";"68";"2198";"5"
"944";"69";"69";"4"
"945";"67";"2199";"8"
"947";"57";"159";"7"
"949";"57";"162";"8"
"950";"70";"147";"1"
"951";"70";"148";"2"
"952";"70";"150";"3"
"953";"70";"151";"4"
"954";"70";"149";"11"
"955";"70";"154";"7"
"956";"70";"152";"5"
"957";"70";"153";"6"
"958";"59";"209";"2"
"959";"59";"210";"5"
"960";"59";"211";"6"
"961";"59";"216";"1"
"962";"59";"215";"8"
"963";"59";"213";"4"
"964";"59";"214";"7"
"965";"69";"68";"3"
"966";"69";"70";"11"
"967";"69";"71";"8"
"968";"69";"72";"6"
"969";"69";"73";"7"
"970";"69";"74";"10"
"972";"71";"91";"17"
"973";"71";"89";"18"
"974";"71";"90";"19"
"975";"70";"155";"8"
"976";"70";"156";"9"
"978";"58";"197";"2"
"985";"73";"92";"2"
"986";"73";"93";"3"
"987";"73";"94";"4"
"988";"73";"95";"5"
"989";"73";"96";"6"
"990";"73";"101";"11"
"991";"73";"100";"10"
"992";"73";"99";"9"
"993";"73";"97";"7"
"994";"73";"98";"8"
"995";"74";"102";"1"
"996";"74";"104";"3"
"997";"74";"103";"2"
"998";"74";"105";"4"
"999";"74";"106";"5"
"1000";"74";"107";"6"
"1001";"74";"109";"9"
"1002";"74";"110";"10"
"1003";"74";"111";"11"
"1004";"75";"112";"1"
"1005";"75";"113";"2"
"1006";"75";"114";"3"
"1007";"75";"115";"4"
"1008";"75";"116";"5"
"1010";"75";"2202";"6"
"1011";"72";"2203";"1"
"1012";"68";"58";"12"
"1016";"76";"76";"1"
"1017";"76";"77";"2"
"1018";"76";"78";"3"
"1020";"76";"79";"4"
"1021";"76";"80";"5"
"1022";"76";"81";"6"
"1023";"76";"82";"7"
"1024";"76";"83";"8"
"1025";"76";"84";"9"
"1027";"74";"2207";"7"
"1029";"5";"2209";"4"
"1031";"5";"2211";"8"
"1032";"16";"2209";"2"
"1033";"16";"2211";"21"
"1035";"76";"2213";"10"
"1036";"76";"86";"11"
"1037";"76";"88";"13"
"1039";"59";"2214";"9"
"1040";"59";"2215";"14"
"1042";"58";"201";"9"
"1044";"58";"203";"11"
"1046";"58";"205";"9"
"1048";"58";"207";"10"
"1057";"56";"2223";"47"
"1059";"56";"2225";"62"
"1064";"38";"2230";"7"
"1066";"38";"2232";"39"
"1077";"2";"2191";"9"
"1092";"38";"2253";"14"
"1094";"2";"2254";"10"
"1095";"56";"2255";"17"
"1096";"56";"2256";"20"
"1100";"76";"87";"12"
"1101";"1";"2259";"13"
"1102";"5";"2260";"1"
"1103";"5";"2261";"15"
"1104";"12";"2259";"5"
"1105";"13";"2254";"6"
"1106";"16";"2260";"20"
"1107";"16";"2261";"16"
"1109";"38";"2263";"27"
"1111";"3";"2265";"19"
"1112";"14";"2265";"21"
"1113";"56";"2266";"45"
"1114";"3";"2267";"11"
"1115";"14";"2267";"18"
"1118";"1";"2270";"22"
"1120";"14";"2272";"16"
"1122";"59";"2274";"13"
"1123";"59";"2275";"11"
"1126";"3";"2272";"8"
"1128";"71";"68";"16"
"1130";"84";"2279";"1"
"1131";"1";"2280";"17"
"1132";"12";"2280";"14"
"1134";"2";"2282";"7"
"1135";"13";"2282";"11"
"1136";"38";"2283";"12"
"1142";"1";"2289";"9"
"1143";"12";"2289";"12"
"1144";"59";"2290";"10"
"1145";"59";"2291";"12"
"1146";"38";"2292";"43"
"1147";"58";"2293";"14"
"1148";"85";"68";"3"
"1150";"85";"91";"14"
"1151";"85";"2294";"14"
"1152";"85";"2295";"4"
"1153";"85";"2296";"16"
"1154";"85";"2297";"18"
"1155";"85";"2298";"12"
"1156";"84";"21";"2"
"1157";"84";"22";"3"
"1158";"84";"23";"4"
"1159";"84";"12";"6"
"1160";"84";"2299";"7"
"1161";"84";"2300";"5"
"1162";"84";"2301";"8"
"1163";"82";"2302";"1"
"1164";"82";"2303";"2"
"1166";"82";"2304";"4"
"1167";"82";"2305";"5"
"1168";"82";"2306";"6"
"1169";"82";"31";"7"
"1170";"83";"2307";"1"
"1171";"83";"2308";"2"
"1173";"83";"2265";"4"
"1176";"86";"2311";"1"
"1177";"87";"2312";"1"
"1178";"88";"2313";"1"
"1179";"89";"2314";"1"
"1180";"89";"2315";"2"
"1183";"90";"2318";"1"
"1184";"91";"2311";"1"
"1185";"92";"2313";"1"
"1186";"93";"2314";"1"
"1187";"93";"2315";"2"
"1190";"94";"2318";"3"
"1191";"11";"2319";"5"
"1192";"5";"2320";"5"
"1193";"16";"2320";"5"
"1197";"38";"2324";"18"
"1206";"58";"2334";"4"
"1207";"10";"2335";"3"
"1208";"96";"2336";"1"
"1209";"96";"2337";"2"
"1210";"96";"2338";"3"
"1212";"96";"2340";"4"
"1214";"96";"2342";"5"
"1215";"96";"2343";"6"
"1216";"97";"2344";"1"
"1217";"97";"2345";"2"
"1218";"98";"2346";"1"
"1219";"98";"2347";"2"
"1220";"98";"2348";"3"
"1221";"99";"2349";"1"
"1222";"99";"2350";"2"
"1223";"99";"2351";"3"
"1224";"99";"2352";"4"
"1225";"99";"2353";"5"
"1226";"100";"2354";"1"
"1227";"100";"2355";"2"
"1228";"100";"2356";"3"
"1229";"100";"2357";"4"
"1230";"72";"2358";"2"
"1231";"72";"2359";"3"
"1232";"72";"2360";"4"
"1233";"56";"2361";"33"
"1234";"56";"2362";"31"
"1237";"38";"2365";"24"
"1238";"60";"2366";"3"
"1239";"96";"2367";"7"
"1242";"38";"2370";"42"
"1244";"57";"2372";"3"
"1245";"38";"2373";"26"
"1246";"5";"2374";"26"
"1247";"16";"2374";"21"
"1248";"14";"2375";"14"
"1249";"3";"2376";"12"
"1250";"12";"2377";"21"
"1251";"1";"2377";"20"
"1253";"85";"2379";"8"
"1254";"85";"2380";"11"
"1256";"38";"2382";"48"
"1257";"86";"2383";"2"
"1258";"87";"2384";"2"
"1259";"87";"2385";"3"
"1260";"88";"2386";"2"
"1261";"106";"2387";"1"
"1262";"106";"2388";"2"
"1263";"56";"2389";"35"
"1265";"38";"2391";"47"
"1266";"107";"2392";"2"
"1267";"107";"2393";"3"
"1269";"108";"2395";"2"
"1270";"107";"2396";"4"
"1271";"108";"2397";"3"
"1272";"107";"2398";"5"
"1273";"108";"2399";"4"
"1274";"94";"2400";"4"
"1277";"2";"2402";"18"
"1278";"13";"2402";"17"
"1279";"5";"2403";"21"
"1280";"16";"2403";"25"
"1281";"58";"2404";"6"
"1283";"107";"2406";"1"
"1287";"109";"2410";"7"
"1288";"109";"2411";"3"
"1289";"2";"2412";"6"
"1290";"13";"2412";"13"
"1291";"110";"2413";"1"
"1293";"110";"2415";"4"
"1294";"110";"2416";"8"
"1295";"110";"2417";"7"
"1296";"110";"2418";"9"
"1297";"111";"2419";"1"
"1298";"111";"2420";"2"
"1299";"111";"2421";"3"
"1300";"111";"2422";"4"
"1301";"111";"2423";"5"
"1302";"111";"2282";"6"
"1303";"111";"28";"7"
"1304";"111";"29";"8"
"1306";"111";"2425";"10"
"1307";"111";"2426";"11"
"1308";"112";"2427";"1"
"1309";"112";"2428";"2"
"1311";"112";"2430";"3"
"1312";"112";"2431";"4"
"1313";"112";"36";"7"
"1314";"112";"39";"9"
"1315";"112";"40";"10"
"1316";"112";"41";"11"
"1317";"112";"2432";"13"
"1318";"113";"2388";"1"
"1319";"113";"2433";"2"
"1320";"113";"42";"3"
"1321";"113";"46";"4"
"1322";"114";"48";"2"
"1323";"114";"49";"3"
"1324";"114";"2209";"4"
"1325";"114";"2260";"5"
"1327";"115";"2434";"1"
"1328";"116";"2435";"1"
"1338";"2";"2445";"14"
"1339";"13";"2445";"25"
"1341";"1";"2447";"10"
"1342";"12";"2447";"17"
"1345";"1";"2449";"25"
"1346";"12";"2449";"20"
"1349";"3";"2451";"4"
"1350";"14";"2451";"7"
"1351";"4";"2452";"7"
"1352";"15";"2452";"7"
"1353";"110";"2453";"10"
"1354";"110";"2454";"11"
"1355";"112";"2455";"5"
"1356";"114";"2456";"6"
"1358";"5";"2458";"14"
"1360";"16";"2458";"6"
"1361";"114";"2459";"1"
"1362";"112";"2460";"14"
"1363";"110";"2461";"5"
"1364";"111";"2462";"12"
"1365";"56";"2463";"13"
"1368";"16";"2465";"22"
"1369";"68";"2466";"2"
"1370";"14";"2467";"3"
"1371";"3";"2467";"10"
"1376";"2";"2470";"1"
"1377";"13";"2470";"2"
"1382";"57";"2475";"2"
"1383";"108";"2476";"1"
"1384";"108";"2477";"5"
"1385";"107";"2478";"6"
"1386";"5";"2479";"25"
"1387";"16";"2479";"24"
"1388";"85";"2480";"7"
"1389";"68";"2481";"6"
"1391";"85";"2483";"12"
"1392";"85";"2484";"5"
"1393";"68";"2485";"9"
"1394";"2";"2486";"25"
"1395";"13";"2486";"24"
"1397";"5";"2488";"9"
"1398";"16";"2488";"13"
"1399";"85";"2489";"17"
"1400";"68";"2490";"4"
"1404";"5";"2494";"18"
"1405";"16";"2494";"26"
"1406";"5";"2495";"19"
"1407";"16";"2495";"23"
"1410";"56";"2498";"23"
"1412";"5";"2500";"7"
"1413";"16";"2500";"7"
"1416";"56";"2503";"18"
"1418";"38";"2505";"43"
"1419";"57";"2506";"6"
"1420";"85";"2507";"15"
"1422";"57";"2509";"10"
"1423";"38";"2510";"11"
"1424";"85";"2511";"1"
"1425";"85";"2512";"2"
"1426";"71";"2513";"10"
"1427";"71";"2514";"15"
"1428";"16";"2515";"8"
